"S1L1";"S1L2";"S2L1";"S2L2";"S2L3";"S3L1";"S3L2";"S3L3";"S4L1";"S4L2";"S5L1";"S5L2";"S6L1";"S6L2";"S6L3";"S6L4";"S7L1";"S7L2";"S8L1";"S8L2";"S8L3";"S9L1";"S9L2";"S10L1";"S11L1";"S11L2";"S11L3";"S12L1";"S12L2";"S13L1";"S13L2";"S13L3";"S14L1";"S14L2";"S14L3";"S15L1";"S15L2";"S15L3";"S16L1";"S16L2";"S17L1";"S17L2";"S17L3";"S18L1";"S18L2";"S18L3";"S19L1";"S19L2";"S20L1";"S20L2";"S20L3";"S21L1";"S21L2";"S21L3";"S22L1";"S22L2";"S22L3";"S23L1";"S23L2";"S23L3";"S24L1";"S24L2";"S24L3";"S25L1";"S25L2";"S25L3";"S26L1";"S26L2";"S26L3";"S27L1";"S27L2";"S27L3";"S28L1";"S28L2";"S28L3";"S29L1";"S29L2";"S29L3";"S30L1";"S30L2";"S30L3"
"A";"2";"8";"1";"1";"8";"1";"1";"1";"1";"8";"1";"2";"1";"1";"1";"7";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"3";"1";"6";"1";"4";"1";"1";"4";"1";"1";"2";"1";"1";"1";"1";"1";"5";"1";"3";"1";"1";"1";"2";"3";"1";"1";"1";"2";"1";"3";"5";"1";"3";"1";"1";"3";"1";"1";"4";"1";"1";"4";"4";"1";"4";"1";"1";"4";"1";"1";"2";"6";"1";"4";"8"
"B";"2";"1";"2";"2";"1";"2";"3";"5";"2";"1";"2";"1";"2";"2";"4";"4";"2";"8";"2";"2";"8";"2";"3";"2";"1";"1";"3";"2";"3";"2";"1";"8";"2";"1";"8";"1";"2";"8";"2";"7";"2";"3";"3";"1";"4";"8";"2";"8";"2";"1";"8";"1";"2";"4";"1";"3";"8";"2";"1";"8";"2";"2";"8";"2";"1";"8";"1";"2";"2";"2";"2";"8";"2";"1";"8";"2";"4";"4";"2";"2";"2"
"C";"1";"2";"1";"4";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"8";"1";"2";"1";"4";"2";"1";"1";"1";"1";"1";"3";"2";"4";"1";"3";"2";"1";"3";"2";"2";"3";"2";"1";"3";"1";"2";"6";"1";"4";"2";"1";"2";"1";"4";"2";"1";"1";"1";"1";"4";"6";"1";"4";"2";"1";"3";"1";"1";"3";"2";"1";"3";"3";"1";"3";"2";"1";"3";"2";"1";"2";"5";"1";"3";"7"
"D";"2";"7";"2";"3";"7";"2";"3";"3";"2";"7";"2";"4";"2";"2";"4";"4";"2";"7";"2";"1";"7";"2";"2";"2";"1";"4";"1";"1";"8";"2";"2";"7";"2";"2";"7";"1";"1";"7";"2";"8";"1";"1";"1";"2";"2";"7";"2";"7";"2";"1";"7";"2";"3";"6";"2";"1";"1";"2";"1";"7";"2";"1";"6";"2";"2";"7";"2";"5";"5";"2";"2";"7";"2";"2";"7";"2";"3";"1";"2";"1";"1"
"E";"2";"6";"1";"4";"6";"1";"2";"2";"1";"6";"1";"3";"1";"1";"1";"1";"1";"3";"1";"3";"3";"1";"1";"1";"2";"2";"5";"2";"1";"1";"3";"3";"1";"3";"3";"1";"1";"3";"1";"4";"1";"2";"6";"2";"1";"3";"1";"3";"2";"3";"3";"2";"4";"8";"2";"2";"4";"1";"3";"3";"1";"4";"2";"1";"3";"3";"2";"6";"6";"1";"3";"3";"1";"3";"3";"1";"1";"7";"1";"3";"3"
"F";"1";"3";"1";"1";"3";"1";"1";"1";"1";"3";"1";"3";"1";"1";"2";"2";"1";"4";"1";"3";"4";"1";"1";"1";"2";"2";"5";"1";"7";"1";"4";"4";"1";"4";"4";"2";"3";"4";"1";"2";"1";"1";"5";"2";"2";"4";"1";"4";"1";"4";"4";"2";"3";"5";"2";"2";"3";"1";"4";"4";"1";"4";"3";"1";"4";"4";"2";"6";"7";"1";"4";"4";"1";"4";"4";"1";"1";"8";"1";"4";"8"
"G";"2";"6";"1";"4";"6";"1";"2";"2";"1";"6";"1";"3";"1";"1";"1";"1";"1";"3";"1";"3";"3";"1";"1";"1";"1";"4";"1";"2";"2";"1";"3";"3";"1";"3";"2";"1";"1";"3";"1";"3";"2";"3";"3";"2";"1";"3";"1";"3";"2";"3";"3";"2";"3";"6";"2";"2";"4";"1";"3";"3";"1";"4";"2";"1";"3";"3";"2";"5";"5";"1";"3";"3";"1";"3";"3";"1";"1";"7";"1";"3";"3"
"H";"1";"5";"2";"2";"5";"2";"4";"4";"2";"5";"2";"4";"2";"2";"3";"3";"2";"6";"2";"2";"6";"2";"3";"2";"2";"2";"4";"2";"2";"2";"1";"6";"2";"1";"6";"2";"4";"6";"2";"6";"2";"4";"4";"2";"1";"6";"2";"6";"1";"2";"6";"2";"3";"5";"2";"1";"2";"2";"2";"6";"2";"2";"5";"2";"1";"6";"2";"6";"7";"2";"1";"6";"2";"1";"6";"2";"4";"3";"2";"2";"2"
"I";"2";"7";"2";"3";"7";"2";"3";"3";"2";"7";"2";"4";"2";"2";"5";"5";"2";"7";"2";"1";"7";"2";"2";"2";"2";"2";"4";"1";"8";"2";"2";"7";"2";"2";"7";"1";"1";"7";"2";"8";"2";"3";"3";"2";"2";"7";"2";"7";"2";"1";"7";"2";"4";"7";"2";"1";"1";"2";"1";"7";"2";"1";"7";"2";"2";"7";"2";"6";"6";"2";"2";"7";"2";"2";"7";"2";"3";"2";"2";"2";"6"
"J";"1";"5";"2";"2";"5";"2";"4";"4";"2";"5";"2";"4";"2";"2";"5";"5";"2";"6";"2";"2";"6";"2";"3";"2";"1";"4";"2";"2";"1";"2";"1";"6";"2";"1";"6";"2";"4";"6";"2";"6";"1";"2";"2";"2";"1";"6";"2";"6";"1";"2";"6";"2";"4";"7";"2";"1";"2";"2";"2";"6";"2";"2";"5";"2";"1";"6";"2";"5";"8";"2";"1";"6";"2";"1";"6";"2";"4";"3";"2";"1";"5"
