ID_juge;Product;Hedo_cat;Text;Sentiment;Valency_ML;Liking
19;A;I don't like;not thick enough;1,039230485;-0,906;2
19;B;I don't like;quite well;0;-0,054;4
19;C;I like moderately;right weft;1,272792206;-0,216;5
19;D;I like moderately;thick enough;1,272792206;-0,906;6
19;E;I like moderately;classy but a little too dirty;0,40824829;0,09;6
19;F;I don't like;not thick enough;1,039230485;-0,906;2
19;G;I like moderately;good thick enough;1,5011107;-0,04;6
19;H;I like moderately;good but too light;0,9;0,116;5
19;I;I don't like;it is good;0;0,05;5
19;J;I like very much;very classy;0,707106781;0,27;9
20;A;I like moderately;good for the leather ;0;0,268;6
20;B;I don't like;feeling of dead skin;-0,5;-0,754;3
20;C;I like moderately;not bad but a little dry to the touch;0,333333333;-0,028;7
20;D;I don't like;seems to be close to the baize;0;-0,742;2
20;E;I don't like;i don t like the velvet feeling;0,377964473;-0,974;3
20;F;I like very much;good tactile deeling and very pleasant stiffness;0,680336051;0,556;10
20;G;I don't like;too soft and spongy;0;-0,114;1
20;H;I like moderately;quite soft but less pleasant feeling of skin;0,141421356;0,118;6
20;I;I like moderately;quite comfortable but a little too dry;0;0,132;7
20;J;I like very much;quite soft but a little plastic feeling;0;0,296;9
21;A;I like moderately;fine fabrics and small meshes;0;-0,282;7
21;B;I like very much;fabric thickness and touch;0;0,048;9
21;C;I don't like;cheap feeling;-0,707106781;-0,838;3
21;D;I like moderately;is damaged by friction;-0,5;-0,484;6
21;E;I like very much;velvety appearance aesthetic and qualitative;0,894427191;0,432;10
21;F;I like moderately;brighter than the a fabric;0;-0,522;6
21;G;I don't like;weird to the touch;-0,5;-0,52;4
21;H;I don't like;oily texture;0;-0,794;4
21;I;I don't like;ras;0;-0,948;5
21;J;I like moderately;quality leather;0,707106781;-0,172;8
23;A;I like moderately;it is not sophisticated enough;0;-0,114;6
23;B;I like moderately;it is a little too rude;0;-0,036;6
23;C;I don't like;it is too thin;0;-0,998;5
23;D;I don't like;it is too hairy;-0,5;-0,998;3
23;E;I like very much;it is really pleasant to the touch;0,377964473;0,718;10
23;F;I like very much;it is simple and really well finished;0;0,768;10
23;G;I like moderately;it is too soft;0,5;-0,042;6
23;H;I like very much;it is really pleasant and modern;0,40824829;0,77;10
23;I;I don't like;it is not refined enough;0,804984472;-0,46;4
23;J;I like very much;classy enough;1,272792206;0,18;9
26;A;I like moderately;i don t know;0;-0,61;6
26;B;I don't like;not flexible enough;1,039230485;-0,928;5
26;C;I don't like;not cozy enough;1,039230485;-0,946;5
26;D;I don't like;itchy fabric;0;-0,886;5
26;E;I like very much;soft mellow comfortable;1,154700538;0,592;9
26;F;I like very much;soft;1;0,004;8
26;G;I don't like;rough;-1;-1;5
26;H;I like moderately;soft to the touch;0,5;0,038;7
26;I;I don't like;rough fabric;-0,707106781;-0,978;5
26;J;I like very much;soft mellow comfortable;1,154700538;0,592;10
27;A;I like moderately;i like this product a little because it remains discreet without beeing too unpleasant to the touch;-0,242535625;-0,118;5
27;B;I don't like;i don t like this product because it is thick;0,316227766;-0,994;3
27;C;I like moderately;i like this product a little because it is properly thickened;0;-0,014;5
27;D;I don't like;i don t like this product because it is too similar to carpet;-0,277350098;-0,998;2
27;E;I don't like;i don t like this product because i don t visualize this kind of material in a car  evenif it s nice to the touch;0,45;-0,834;3
27;F;I like moderately;i like this product a little because it remains soft and pleasant to the touch  without being too thick;0,688247202;0,054;6
27;G;I don't like;too coarse;-0,707106781;-0,998;1
27;H;I like moderately;i like this product a little because it is smooth ;0,316227766;-0,024;5
27;I;I don't like;i don t like this product because it is not comfortable;0,301511345;-0,758;1
27;J;I like very much;remains smooth and quite chic;0,894427191;0,378;7
28;A;I don't like;not thick enough;1,039230485;-0,898;4
28;B;I don't like;not qualitative enough;1,039230485;-0,518;3
28;C;I like moderately;not soft enough;1,039230485;-0,088;6
28;D;I don't like;toomuch fibre;-1,272792206;-0,988;3
28;E;I like very much;justright pleasant to the touch;0,804984472;0,374;9
28;F;I like moderately;justright smooth;1,272792206;0,24;7
28;G;I don't like;too soft;0,707106781;-0,056;4
28;H;I like moderately;justright smooth;1,272792206;0,24;7
28;I;I don't like;too industrial;-0,707106781;-0,998;3
28;J;I like very much;justright qualitative;1,272792206;0,444;9
29;A;I like moderately;simple to the touch and correct design;0,377964473;-0,054;6
29;B;I don't like;i don t like its simple and ordinary design  the fabric is weird to the touch;-0,25;-0,806;2
29;C;I don't like;ugly design;0;-0,97;1
29;D;I don't like;it looks like baize and i m afraid it s getting damaged too fast;-0,267261242;-0,656;2
29;E;I like very much;super soft to the touch  i like this type of fabric that gives the impression of being shiny when you run your finger over it;0,36;0,49;9
29;F;I like moderately;nice to the touch and simple fabric design;0,353553391;-0,058;6
29;G;I don't like;i don t like the material at all;0;-0,994;1
29;H;I don't like;rigid fabric;-0,707106781;-0,914;1
29;I;I don't like;it looks like elastic and i don t like to the touch;-0,288675135;-0,906;2
29;J;I like moderately;looks more like leather evenif it s not  soft and pleasant to the touch;0,868599036;0,11;7
30;A;I don't like;too thin;0;-0,996;3
30;B;I like moderately;justright thick;1,272792206;0,254;5
30;C;I like moderately;soft to the touch;0,5;0,048;5
30;D;I don't like;toomuch dustpan;0;-0,872;3
30;E;I like moderately;very soft to the touch;0,447213595;0,048;6
30;F;I like moderately;a little thin;0;-0,18;5
30;G;I don't like;too synthetic viscose;-1,154700538;-1;4
30;H;I like moderately;too many wrinkles marks;0;-0,396;5
30;I;I like very much;sophisticated;0;0,034;6
30;J;I like very much;elegant leather imitation;0;0,662;8
31;A;I don't like;rough;-1;-1;2
31;B;I like moderately;rather thick but a little hard;0;-0,126;4
31;C;I don't like;a little too thin;0;-0,148;3
31;D;I don't like;must quickly get damaged and fluffy;-0,816496581;-0,824;1
31;E;I like very much;very soft and thick enough;1,252198067;-0,058;9
31;F;I like moderately;quite soft but thin;0,5;-0,058;4
