ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
19;A;je n'aime pas;pas assez epais;2;19_A;19_je n'aime pas
19;B;je n'aime pas;assez bien;4;19_B;19_je n'aime pas
19;C;j'aime un peu;bonne trame;5;19_C;19_j'aime un peu
19;D;j'aime un peu;bien epais;6;19_D;19_j'aime un peu
19;E;j'aime un peu;classe mais peux trop salissant;6;19_E;19_j'aime un peu
19;F;je n'aime pas;pas assez epais;2;19_F;19_je n'aime pas
19;G;j'aime un peu;bon assez epais;6;19_G;19_j'aime un peu
19;H;j'aime un peu;bon mais trop leger;5;19_H;19_j'aime un peu
19;I;je n'aime pas;bien;5;19_I;19_je n'aime pas
19;J;j'aime beaucoup;tres classe;9;19_J;19_j'aime beaucoup
20;A;j'aime un peu;bien sensation cuir mais peu trop dur;6;20_A;20_j'aime un peu
20;B;je n'aime pas;sensation peau morte;3;20_B;20_je n'aime pas
20;C;j'aime un peu;pal mal mais peu sec toucher;7;20_C;20_j'aime un peu
20;D;je n'aime pas;semble proche feutrine;2;20_D;20_je n'aime pas
20;E;je n'aime pas;n' aime pas sensation velours;3;20_E;20_je n'aime pas
20;F;j'aime beaucoup;bonne sensation tactile rigidite bien agreable;10;20_F;20_j'aime beaucoup
20;G;je n'aime pas;chien trop mou spongieux;1;20_G;20_je n'aime pas
20;H;j'aime un peu;assez doux mais sensation moins agreable peau;6;20_H;20_j'aime un peu
20;I;j'aime un peu;assez confortable mais peu trop sec;7;20_I;20_j'aime un peu
20;J;j'aime beaucoup;assez moelleux mais sensation peu plastique;9;20_J;20_j'aime beaucoup
21;A;j'aime un peu;tissus fin petites mailles;7;21_A;21_j'aime un peu
21;B;j'aime beaucoup;epaisseur tissu touche;9;21_B;21_j'aime beaucoup
21;C;je n'aime pas;impression bas gamme;3;21_C;21_je n'aime pas
21;D;j'aime un peu;s' abime frottements;6;21_D;21_j'aime un peu
21;E;j'aime beaucoup;aspect velours esthetique qualitatif;10;21_E;21_j'aime beaucoup
21;F;j'aime un peu;plus brillant tissu a;6;21_F;21_j'aime un peu
21;G;je n'aime pas;bizarre touche;4;21_G;21_je n'aime pas
21;H;je n'aime pas;texture grasse;4;21_H;21_je n'aime pas
21;I;je n'aime pas;character(0);5;21_I;21_je n'aime pas
21;J;j'aime un peu;cuir qualitatif;8;21_J;21_j'aime un peu
23;A;j'aime un peu;pas assez sophistique;6;23_A;23_j'aime un peu
23;B;j'aime un peu;peu trop grossier;6;23_B;23_j'aime un peu
23;C;je n'aime pas;trop fin;5;23_C;23_je n'aime pas
23;D;je n'aime pas;trop poilu;3;23_D;23_je n'aime pas
23;E;j'aime beaucoup;vraiment agreable toucher;10;23_E;23_j'aime beaucoup
23;F;j'aime beaucoup;simple vraiment bien fini;10;23_F;23_j'aime beaucoup
23;G;j'aime un peu;trop mou;6;23_G;23_j'aime un peu
23;H;j'aime beaucoup;vraiment agreable moderne;10;23_H;23_j'aime beaucoup
23;I;je n'aime pas;pas assez raffine;4;23_I;23_je n'aime pas
23;J;j'aime beaucoup;assez classe;9;23_J;23_j'aime beaucoup
26;A;j'aime un peu;sais pas;6;26_A;26_j'aime un peu
26;B;je n'aime pas;pas assez souple;5;26_B;26_je n'aime pas
26;C;je n'aime pas;pas assez douillet;5;26_C;26_je n'aime pas
26;D;je n'aime pas;tissu gratte;5;26_D;26_je n'aime pas
26;E;j'aime beaucoup;doux moelleux confortable;9;26_E;26_j'aime beaucoup
26;F;j'aime beaucoup;doux;8;26_F;26_j'aime beaucoup
26;G;je n'aime pas;reche;5;26_G;26_je n'aime pas
26;H;j'aime un peu;doux toucher;7;26_H;26_j'aime un peu
26;I;je n'aime pas;tissu reche;5;26_I;26_je n'aime pas
26;J;j'aime beaucoup;doux moelleux confortable;10;26_J;26_j'aime beaucoup
27;A;j'aime un peu;j' aime peu produit car reste discret sans desagreable trop desagrzable toucher;5;27_A;27_j'aime un peu
27;B;je n'aime pas;n' aime pas produit car epais;3;27_B;27_je n'aime pas
27;C;j'aime un peu;j' aime peu produit car convenablement epais;5;27_C;27_j'aime un peu
27;D;je n'aime pas;n' aime pas produit car trop semblable a moquette;2;27_D;27_je n'aime pas
27;E;je n'aime pas;n' aime pas produit car ne visualise pas genre matiere voiture meme si agreable touche;3;27_E;27_je n'aime pas
27;F;j'aime un peu;j' aime jaime peu produit car reste doux agreable toucher sans etre trop epais;6;27_F;27_j'aime un peu
27;G;je n'aime pas;trop grossier;1;27_G;27_je n'aime pas
27;H;j'aime un peu;j' aime peu produit car lisse;5;27_H;27_j'aime un peu
27;I;je n'aime pas;n' aime pas produit car pas confortable;1;27_I;27_je n'aime pas
27;J;j'aime beaucoup;reste lisse assez chic;7;27_J;27_j'aime beaucoup
