Implicated;Position Culture;Position H Food;Position A Food;Protest;Media Communicate;Info Active;Reduce Phytosanitary;Reduce Hunger;Improve Farmer Life;Lead to Progress;Danger for Health;Danger Environment;Financial Risk Farmer;Useless Practice;Grandparents Healthier;Gender;Age;Profession;Related AgriFood;Political Party
Not at all;Somewhat against;Totally opposed;Totally opposed;No;Yes;No;No;Yes;No;No;No;Yes;No;No;Yes;H;"[26; 40]";Retailer ;No;Greens
Certain extent;Favourable;Somewhat against;Favourable;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;H;> 60;Senior management ;No;Right
A little;Favourable;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;F;"[41; 60]";Technician;No;Right
A little;Favourable;Favourable;Very favourable;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;H;"[41; 60]";Senior management ;No;Right
Certain extent;Somewhat against;Favourable;Favourable;No;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;F;"[41; 60]";Unemployed;No;Right
A lot;Favourable;Favourable;Very favourable;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Right
Certain extent;Favourable;Favourable;Very favourable;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;H;< 25;Student;Yes;Right
Not at all;Favourable;Favourable;Favourable;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;Yes;H;< 25;Student;No;Right
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;F;< 25;Student;No;Right
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;F;< 25;Student;No;Left
A little;Favourable;Favourable;Very favourable;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;F;< 25;Student;No;Right
Certain extent;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;No;F;< 25;Student;Yes;Liberal
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;H;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;No;F;< 25;Student;Yes;Extreme left
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;F;< 25;Student;Yes;Left
