ID_juge;Product;Hedo_cat;Text;Liking
19;A;I don't like;not thick enough;2
19;B;I don't like;quite well;4
19;C;I like moderately;right weft;5
19;D;I like moderately;thick enough;6
19;E;I like moderately;classy but a little too dirty;6
19;F;I don't like;not thick enough;2
19;G;I like moderately;good thick enough;6
19;H;I like moderately;good but too light;5
19;I;I don't like;it is good;5
19;J;I like very much;very classy;9
20;A;I like moderately;good for the leather ;6
20;B;I don't like;feeling of dead skin;3
20;C;I like moderately;not bad but a little dry to the touch;7
20;D;I don't like;seems to be close to the baize;2
20;E;I don't like;I don't like the velvet feeling;3
20;F;I like very much;good tactile deeling and very pleasant stiffness;10
20;G;I don't like;too soft and spongy;1
20;H;I like moderately;quite soft but less pleasant feeling of skin;6
20;I;I like moderately;quite comfortable but a little too dry;7
20;J;I like very much;quite soft but a little plastic feeling;9
21;A;I like moderately;fine fabrics and small meshes;7
21;B;I like very much;fabric thickness and touch;9
21;C;I don't like;cheap feeling;3
21;D;I like moderately;is damaged by friction;6
21;E;I like very much;velvety appearance: aesthetic and qualitative;10
21;F;I like moderately;brighter than the A fabric;6
21;G;I don't like;weird to the touch;4
21;H;I don't like;oily texture;4
21;I;I don't like;ras;5
21;J;I like moderately;quality leather;8
23;A;I like moderately;it is not sophisticated enough;6
23;B;I like moderately;it is a little too rude;6
23;C;I don't like;it is too thin;5
23;D;I don't like;it is too hairy;3
23;E;I like very much;it is really pleasant to the touch;10
23;F;I like very much;it is simple and really well finished;10
23;G;I like moderately;it is too soft;6
23;H;I like very much;it is really pleasant and modern;10
23;I;I don't like;it is not refined enough;4
23;J;I like very much;classy enough;9
26;A;I like moderately;I don't know;6
26;B;I don't like;not flexible enough;5
26;C;I don't like;not cozy enough;5
26;D;I don't like;itchy fabric;5
26;E;I like very much;soft mellow comfortable;9
26;F;I like very much;soft;8
26;G;I don't like;rough;5
26;H;I like moderately;soft to the touch;7
26;I;I don't like;rough fabric;5
26;J;I like very much;soft mellow comfortable;10
27;A;I like moderately;I like this product a little because it remains discreet without beeing too unpleasant to the touch;5
27;B;I don't like;I don't like this product because it is thick;3
27;C;I like moderately;I like this product a little because it is properly thickened;5
27;D;I don't like;I don't like this product because it is too similar to carpet;2
27;E;I don't like;I don't like this product because I don't visualize this kind of material in a car, even if it's nice to the touch;3
27;F;I like moderately;I like this product a little because it remains soft and pleasant to the touch, without being too thick;6
27;G;I don't like;too coarse;1
27;H;I like moderately;I like this product a little because it is smooth ;5
27;I;I don't like;I don't like this product because it is not comfortable;1
27;J;I like very much;remains smooth and quite chic;7
28;A;I don't like;not thick enough;4
28;B;I don't like;not qualitative enough;3
28;C;I like moderately;not soft enough;6
28;D;I don't like;too much fibre;3
28;E;I like very much;just right pleasant to the touch;9
28;F;I like moderately;just right smooth;7
28;G;I don't like;too soft;4
28;H;I like moderately;just right smooth;7
28;I;I don't like;too industrial;3
28;J;I like very much;just right qualitative;9
29;A;I like moderately;simple to the touch and correct design;6
29;B;I don't like;I don't like its simple and ordinary design. The fabric is weird to the touch;2
29;C;I don't like;ugly design;1
29;D;I don't like;it looks like baize and I'm afraid it's getting damaged too fast;2
29;E;I like very much;super soft to the touch. I like this type of fabric that gives the impression of being shiny when you run your finger over it;9
29;F;I like moderately;nice to the touch and simple fabric design;6
29;G;I don't like;I don't like the material at all;1
29;H;I don't like;rigid fabric;1
29;I;I don't like;It looks like elastic and I don't like to the touch;2
29;J;I like moderately;looks more like leather even if it's not. Soft and pleasant to the touch;7
30;A;I don't like;too thin;3
30;B;I like moderately;just right thick;5
30;C;I like moderately;soft to the touch;5
30;D;I don't like;too much dustpan;3
30;E;I like moderately;very soft to the touch;6
30;F;I like moderately;a little thin;5
30;G;I don't like;too synthetic viscose;4
30;H;I like moderately;too many wrinkles marks;5
30;I;I like very much;sophisticated;6
30;J;I like very much;elegant leather imitation;8
31;A;I don't like;rough;2
31;B;I like moderately;rather thick but a little hard;4
31;C;I don't like;a little too thin;3
31;D;I don't like;must quickly get damaged and fluffy;1
31;E;I like very much;very soft and thick enough;9
31;F;I like moderately;quite soft but thin;4
31;G;I like very much;very soft to see over time if it holds or if it subsides;10
31;H;I like moderately;interesting material but a stocky effect ;4
31;I;I like moderately;quite thick and must hold well over time;6
31;J;I like very much;leather effect to see on the temperature changes according to the seasons;8
32;A;I don't like;not pleasant to the touch;2
32;B;I like moderately;thicker and pleasant to the touch;7
