user,product,intensity,id_int,freshness,id_fresh,jasmin,id_jasm,rose,id_rose,liking
171,Angel,77,49.4,36.1,50.6,30,43.3,13.3,44.8,3
171,Chanel N5,52.7,52.1,50.6,69.4,41.5,45.8,45.8,45.5,7
171,Coco Mademoiselle,73,50,66.1,52.1,40.6,47.6,18.2,48.5,6
171,Pleasures,52.4,49.4,67.6,69.7,49.4,50.9,62.7,63.3,5
171,Shalimar,68.8,47,47.9,50.6,45.8,46.4,21.5,48.8,3
553,Angel,43.3,36.4,19.7,50.9,26.4,20.9,23,45.8,3
553,Chanel N5,53.6,33,47.3,55.5,33.3,23.6,23,35.5,1
553,Coco Mademoiselle,49.4,49.1,58.2,69.1,19.7,20,16.7,34.5,7
553,Pleasures,51.2,49.7,25.5,77.9,35.5,18.2,22.1,34.5,6
553,Shalimar,53.9,34.2,19.7,60.9,37.6,21.5,28.2,40.9,3
991,Angel,33,43,30,59.1,49.1,47.6,39.1,48.8,7
991,Chanel N5,25.2,41.8,31.5,40.3,41.2,40.9,28.8,41.2,8
991,Coco Mademoiselle,63.3,45.8,32.4,60.6,21.8,41.2,34.2,43,7
991,Pleasures,38.5,52.4,23,47.6,22.7,49.4,31.5,50.6,8
991,Shalimar,45.5,43.6,55.5,54.8,22.1,34.8,21.5,33,6
1344,Angel,60.6,55.2,61.5,61.2,43,42.7,66.1,65.8,5
1344,Chanel N5,63,62.7,58.2,58.2,20.3,29.1,23.9,26.7,8
1344,Coco Mademoiselle,53.6,52.7,71.2,61.2,38.8,39.7,50.6,38.2,6
1344,Pleasures,51.2,55.8,61.8,60,72.7,73,50.9,59.7,7
1344,Shalimar,70.6,70.3,16.7,29.7,32.4,32.4,18.5,28.8,8
1661,Angel,46.1,45.8,71.5,63.3,58.2,58.2,46.7,45.2,5
1661,Chanel N5,65.5,40,38.2,59.7,62.7,48.5,62.4,42.4,1
1661,Coco Mademoiselle,65.2,58.2,64.8,65.5,33.6,35.5,50.9,49.1,5
1661,Pleasures,48.8,48.5,66.1,63.9,46.7,45.2,34.5,34.8,7
1661,Shalimar,35.8,36.1,68.5,65.5,65.8,58.2,71.2,56.4,3
1679,Angel,51.2,50.3,41.2,60.3,33.9,47.3,15.2,12.4,5
1679,Chanel N5,54.8,56.1,56.1,56.7,37.6,66.4,12.1,10.3,5
