"X1"	"Y1"	"S1"	"X2"	"Y2"	"S2"	"X3"	"Y3"	"S3"	"X4"	"Y4"	"S4"	"X5"	"Y5"	"S5"	"X6"	"Y6"	"S6"	"X7"	"Y7"	"S7"	"X8"	"Y8"	"S8"	"X9"	"Y9"	"S9"	"X10"	"Y10"	"S10"	"X11"	"Y11"	"S11"	"X12"	"Y12"	"S12"	"X13"	"Y13"	"S13"	"X14"	"Y14"	"S14"	"X15"	"Y15"	"S15"	"X16"	"Y16"	"S16"	"X17"	"Y17"	"S17"	"X18"	"Y18"	"S18"	"X19"	"Y19"	"S19"	"X20"	"Y20"	"S20"	"X21"	"Y21"	"S21"	"X22"	"Y22"	"S22"	"X23"	"Y23"	"S23"	"X24"	"Y24"	"S24"	"X25"	"Y25"	"S25"	"X26"	"Y26"	"S26"	"X27"	"Y27"	"S27"	"X28"	"Y28"	"S28"	"X29"	"Y29"	"S29"	"X30"	"Y30"	"S30"	"X31"	"Y31"	"S31"	"X32"	"Y32"	"S32"	"X33"	"Y33"	"S33"	"X34"	"Y34"	"S34"	"X35"	"Y35"	"S35"	"X36"	"Y36"	"S36"	"X37"	"Y37"	"S37"	"X38"	"Y38"	"S38"	"X39"	"Y39"	"S39"	"X40"	"Y40"	"S40"	"X41"	"Y41"	"S41"	"X42"	"Y42"	"S42"	"X43"	"Y43"	"S43"	"X44"	"Y44"	"S44"	"X45"	"Y45"	"S45"	"X46"	"Y46"	"S46"	"X47"	"Y47"	"S47"	"X48"	"Y48"	"S48"	"X49"	"Y49"	"S49"	"X50"	"Y50"	"S50"	"X51"	"Y51"	"S51"	"X52"	"Y52"	"S52"	"X53"	"Y53"	"S53"	"X54"	"Y54"	"S54"	"X55"	"Y55"	"S55"	"X56"	"Y56"	"S56"	"X57"	"Y57"	"S57"	"X58"	"Y58"	"S58"	"X59"	"Y59"	"S59"	"X60"	"Y60"	"S60"
"Angel"	43.2	34.7	"D"	56	22.2	"violent;pepper"	23.8	22.6	"discreet;chemical"	7.1	11.1	"young;vivid"	4.4	27.4	"strong;character;sickly"	8.4	20.7	"woman;mature"	23	29.5	"sweet"	32.7	7.6	"fruit"	56	3	"hot;spicy;vanilla;heady"	13.7	32.5	"sweet;too;strong"	37.5	32	"A"	44.7	12.1	"too;present"	11.7	28.1	"A"	55	4.7	"gingerbread"	8.4	7.1	"vanilla;spicy;hot"	49.4	36	"strongA"	34.5	30.5	"C"	9.9	16	"A"	54.7	3.5	"pepper"	51.2	38	"wood;bitter"	26.8	34.2	"unpleasant"	48.8	34.5	"too;strong;too;sweet;not-enough-fresh"	5.5	18.5	"muffled;flower;coconut"	12	24	"aggressive"	48.2	32.7	"sweet;fruit"	9.2	23	"H"	12.5	18.5	"pepper;strong;prickly;sharp;ancient"	26.5	21	"A"	49.1	27.5	"H"	56.3	2.5	"bitter;strong"	9.6	35.2	"A"	39.3	11.3	"musk;heady"	53	35	"vanilla;sweet"	54.2	9	"vanilla;soft"	26.4	7.2	"hot"	4.3	33.2	"enveloping;cloud;voluptuousness;smoothness;soft;reassuring"	55.7	36	"E"	26	22.7	"sweet;cinnamon;spicy"	36.5	19.6	"D"	54.4	18.7	"sirup;cake;fruit"	20.5	18.3	"sweet"	11.8	22.2	"musk;pepper"	45.7	29.8	"liked;incense"	27.1	23.2	"pepper"	34.6	2.7	"E"	50	26.8	"vanilla"	4	4.7	"vanilla"	3.8	12.5	"sweet"	53.4	23.1	"heady"	11.5	34.7	"teenage;likeable"	7.4	11.4	"vanilla"	48.5	34.8	"strong;spicy;oriental"	14.9	10.5	"fruit"	6.5	31.1	"fruit"	11.6	26.5	"strong;aggressive"	14.8	4.7	"heady"	42	19.5	"average"	51.8	28.4	"A"	6.5	29.9	"A"	46.5	25.2	"toilets;unpleasant"
"Aromatics Elixir"	52	33.1	"D"	15.5	3.7	"ammonia"	54.5	4.7	"very;strong"	39.3	22.3	"old;ordinary"	20.8	34	"savoury;woman;refined"	3	36.3	"B"	5.7	25.9	"spicy"	49.4	11.7	"flower"	58	20.7	"hot;spicy;vanilla;heady"	3.5	22.3	"old"	52.7	31.7	"alcohol"	6.5	33.5	"subtle;mysterious"	20.4	27.2	"ammonia"	49.3	33.1	"very;strong;perfume;woman;old"	58.3	39.3	"soap;too;strong"	52.3	5.3	"strongB"	25.5	17.2	"D"	48.2	21.1	"B"	48.4	3.8	"pepper"	57	35	"wood;bitter"	2.2	37.1	"strong"	14.3	29.7	"odors;hot"	55.6	20.5	"captivating"	49.5	18.3	"skin;intense"	10.3	19.4	"strong;spicy"	25.5	14	"marble;musk"	11	6.1	"pepper;strong;prickly;sharp;ancient"	8.8	26	"B"	53.6	15.1	"spicy;strong"	44.7	3.8	"bitter;strong"	12.2	2.6	"spicy;prickly"	35.8	5.2	"musk;heady"	7	33.8	"ancient;heady"	6.2	32.5	"lily-of-the-valley;violet;strong;disturbing;too;aggressive"	49.9	9.8	"pepper;winter;chestnut"	55.8	5.7	"repulsive;too;strong"	54.7	30.1	"E"	54.4	3.5	"very;strong;eau;cologne;wake-up"	41.1	32.9	"spicy"	8.2	23.7	"strong"	10	34.7	"baby;soft"	17.9	33.8	"musk;pepper"	9	12	"bark;eucalyptus;old;attic;fresh"	36.8	29.8	"very;strong"	11.6	3.7	"unpleasant"	27.3	17.2	"sweet"	53.3	2.5	"soap;ancient"	44	4.2	"oriental"	53.3	20	"heady"	47.6	32.2	"unpleasant"	54.9	33.7	"solvent"	54.8	35.6	"strong;spicy;oriental"	8.8	4.8	"acid"	57.6	4.1	"plant;green;ivy"	8.2	22.4	"strong;aggressive"	3.5	2.5	"ammonia"	55.1	22.8	"strong;unpleasant"	44.8	5.7	"flower"	50.8	37.7	"B"	49	28	"toilets;unpleasant"
"Chanel N5"	33	34.6	"C"	2	20	"bathroom;low-quality"	6.3	9.2	"soap;hands"	55.9	35.2	"E"	24	38	"savoury;woman;refined"	23.3	34.5	"soap"	50.7	9.8	"flower;lily-of-the-valley;fresh"	5.7	31	"deodorant;toilet;too;strong"	2.9	19	"fresh"	10.7	20	"old"	43.5	15	"soap"	35.8	33.6	"deodorant"	31	33.6	"C"	40.8	26.5	"very;strong;perfume;woman;old"	50.8	31	"E"	19.1	24.9	"odor;classical"	9.5	21.8	"F"	42	17.3	"C"	53.1	18.2	"pepper"	33.5	5.3	"animal;spicy;wood"	3.9	34	"strong"	19.7	15.1	"tonic;slightly-acid"	15.3	17	"soap"	7	16	"aggressive"	19.4	11.8	"musk;strong"	47.3	30.9	"n5;chanel"	2.9	6	"pepper;strong;prickly;sharp;ancient"	8.2	22.8	"B"	37.3	18.7	"spicy;strong"	47	20	"strong;fresh"	22.4	2.5	"spicy;prickly"	43.1	35.5	"B"	4.7	3.3	"out-of-date;astringent"	10	27.8	"lily-of-the-valley;violet;strong;disturbing;too;aggressive"	48.1	10.9	"pepper;winter;chestnut"	44.8	8	"aggressive;prickly"	13.9	35.2	"old;old-fashioned"	54.9	37.2	"perfume;people;old"	42.54	27.2	"spicy"	2	37.1	"soap"	16.8	34.3	"baby;soft"	27.3	30.5	"musk;pepper"	32.1	36.5	"acid"	41.6	12.5	"man"	8.5	3.5	"unpleasant"	34.5	4.5	"sweet"	49.1	28.7	"soap;ancient"	41.8	22	"cream;moisturizinge;baby"	46	21.6	"enveloping"	54.1	34.9	"unpleasant"	38.5	32.8	"solvent"	13.6	7.4	"soft;soap"	4.6	4.6	"acid"	43.2	30.2	"soap"	39.1	12.1	"shower-gel;baby"	18.2	28.7	"heady"	56.79	18.2	"strong;unpleasant"	40.1	16.7	"flower"	51.3	12	"C"	27.5	8.7	"soap;light;pleasant"
"Cinéma"	18.8	31.9	"B"	30.5	9.2	"soft;discreet;refined"	38.8	29.4	"soft;character"	11.8	24.9	"neutral;discreet;elegant"	28.3	16	"C"	33.5	8.6	"acid;lemon;citrus;woman;active"	54	20.4	"flower;lily-of-the-valley;fresh"	51.1	31.8	"eau-cologne;toilet-water"	44.5	5.3	"hot;spicy;vanilla;heady"	35.7	9.5	"fruit;sweet;soft"	31.1	17.5	"vanilla"	8	30.5	"subtle;mysterious"	37.5	25.1	"D"	6.7	25.5	"sweet"	11.9	17.7	"fruit;flower;aerial"	12.5	21.1	"odor;classical"	48.5	25.5	"A"	35	21.1	"D"	3.1	5.2	"litchi"	20.3	12.1	"malted;pleasant;light;a-bit-strong"	32	9.5	"sweet"	23.3	2	"fresh;light"	46.3	10	"captivating"	26.5	22.5	"pleasant"	15.6	29.3	"strong;spicy"	25.8	26.2	"fruit"	3.2	18.7	"pepper;strong;prickly;sharp;ancient"	15.8	26.4	"sweet"	14.7	13.2	"odor;spicy"	10.5	24	"soft"	38.3	22.5	"flower"	7.1	11.4	"spring"	35.7	24	"vanilla;sweet"	45.3	16.2	"vanilla;soft"	9.7	24.1	"sweet"	14.2	34.1	"enveloping;cloud;voluptuousness;smoothness;soft;reassuring"	21.1	25.2	"flower;light;fruit"	15.4	15	"chocolate;orange"	6.7	15.7	"light"	42.1	12.9	"sirup;cake;fruit"	26.9	10.7	"sweet"	30.7	22.6	"musk;pepper"	31.2	9.1	"old-woman"	6.8	11.8	"flowerA"	33.8	18.3	"fruit;strong;pleasant"	51.3	15.4	"vanilla"	7.2	13.8	"vanilla"	20.9	23.7	"sweet"	22.8	20	"strong"	10.5	17.4	"harmony"	12.3	26.9	"vanilla"	10.2	5.9	"soft;soap"	10.3	12.1	"fruit"	20.5	26.9	"fruit"	37.8	6.6	"soft;fruit"	48.6	13.8	"sweet;light;heavy;very;pleasant"	9.2	10.5	"weak;pleasant"	13.6	11.3	"toilet;light"	8.1	15.4	"D"	16.6	18.4	"pleasant"
"Coco Mademoiselle"	19.8	31.8	"B"	29.2	11.3	"soft;discreet;refined"	45.8	29.6	"soft;character"	16.5	7.3	"young;vivid"	42	3.7	"D"	12.7	7.5	"synthetic"	32.6	4.9	"wood"	8.1	9.7	"weak-odor"	50	11.5	"hot;spicy;vanilla;heady"	21.8	7.6	"fresh;alcohol;honeysuckle"	12.7	14.8	"perfume;man"	21.7	22	"summer;attractive"	39.2	30	"D"	30.9	23.6	"D"	7.9	34.8	"fresh;aerial"	10.9	31.2	"odor;classical"	49	22.5	"A"	13	19.2	"A"	27.2	19.5	"C"	36.2	11	"animal;spicy;wood"	28.2	8.8	"sweet"	20.7	7.3	"fresh;light"	30	21	"fruit;peach"	25	14	"pleasant"	41.3	20.8	"fresh;flower"	11.2	9	"flower"	53.5	27.9	"fruit;fresh;light;sweet"	24.5	24.7	"A"	21.6	31.6	"light"	40.2	20.7	"strong;fresh"	42.1	31.5	"flower"	32.6	22.2	"fresh"	34.1	18.2	"vanilla;sweet"	25.3	21.7	"amber"	38.9	16	"no;sweet"	14.4	24.8	"enveloping;cloud;voluptuousness;smoothness;soft;reassuring"	55.4	7.1	"D"	8.3	34.3	"vanilla;liquorice"	11.7	15.6	"light"	29.5	11	"soft"	57	5.4	"D"	41.6	10.4	"flower;fresh"	44.8	3.3	"flower"	40.4	9.8	"man"	23.3	30.8	"fruit;strong;pleasant"	9.3	16.6	"flower"	21.3	21	"flower;rose"	14	23.7	"sweet"	30.2	19.5	"strong"	10.5	5.8	"harmony"	10.2	20.8	"vanilla"	34	18.2	"slightly-acid"	31.6	19.3	"light"	22	20.2	"fruit"	32.3	6.1	"soft;fruit"	44	21	"sweet;light;heavy;very;pleasant"	25.2	19.1	"average"	16.2	16.5	"toilet;light"	31	21.5	"E"	10.8	15.1	"pleasant"
"J'adore EP"	5.5	18.8	"A"	18.6	21.1	"acid;violent;soft"	9.2	29.2	"very;discreet"	19.3	27.8	"neutral;discreet;elegant"	31.6	12.7	"C"	52.1	28.2	"flower;lily-of-the-valley;woman;young"	39	28.5	"flower;lily-of-the-valley;fresh"	51.3	6.8	"flower"	23.6	10.9	"fresh"	9.5	24.5	"old"	38	15	"soap"	52.2	32.7	"too;present"	34.5	25.7	"D"	5.5	13.7	"very;fruit"	32.9	20.1	"flower"	6.4	33.4	"odor;classical"	45.2	14.5	"B"	28.1	24.3	"E"	9.8	6.8	"litchi"	6.6	5	"soft;soothing;white;milky;cream;milk;moisturizing"	56.4	13.1	"soft;cream;skin"	21.8	3.7	"fresh;light"	40.8	13.9	"captivating"	51	10	"skin;intense"	42	33.8	"sweet;fruit"	14.3	15.5	"flower"	40.6	21.6	"C"	7	26	"B"	28.2	27	"light"	24	14	"flower;vegetable"	23.6	22.2	"A"	3.4	16.9	"spring"	38.2	9.2	"fruit"	29.5	10.8	"amber"	25.8	27.3	"fruit;flower;light;sweet"	24.1	7.7	"A"	26.2	25.6	"flower;light;fruit"	8.1	27.2	"wind;light;perfume;ambiance"	9.3	22.6	"light"	22.6	27.2	"flower"	3.1	17.4	"baby;soft"	39	24.2	"flower;fresh"	7.7	7	"bark;eucalyptus;old;attic;fresh"	8.1	16.3	"flowerB"	30.2	18.7	"fruit;strong;pleasant"	5.1	30.7	"flower"	22.6	20.9	"flower;rose"	42.3	33.5	"soap;shower-gel"	9.2	24.8	"fresh"	24.9	18.7	"attractive"	44.1	5	"flower"	51.6	15.3	"flower"	9.2	16.9	"fruit"	10.5	27.2	"fruit"	34.4	6.4	"soft;fruit"	28.1	20.9	"light;acid;prickly;pleasant"	7.5	32	"weak;pleasant"	37.8	27.9	"fruit"	23	10.8	"F"	13.2	17.3	"pleasant"
"J'adore ET"	3.3	24.7	"A"	29.5	22.5	"neutral;soap;classical"	35.4	29.3	"soft;character"	32.3	14.6	"old;ordinary"	33.7	10.9	"C"	52.1	30	"flower;lily-of-the-valley;woman;young"	27.9	6	"wood"	48.3	5.6	"flower"	19	25.2	"fresh"	29.4	9.8	"fruit;sweet;soft"	39	8.5	"soap"	44	33.4	"deodorant"	38.2	29.4	"D"	9.5	13.7	"very;fruit"	34.4	19.1	"flower"	5.4	35.1	"odor;classical"	5	20	"F"	23.4	23	"E"	31.5	31	"C"	11.3	6	"soft;soothing;white;milky;cream;milk;moisturizing"	56	5	"soft;cream;skin"	23.2	8.8	"fresh;light"	47.2	14	"captivating"	6.3	28.5	"aggressive"	32.8	16.2	"fresh;flower"	6	30.7	"powder"	53.5	30.6	"fruit;fresh;light;sweet"	25	26.6	"A"	8.5	26.7	"fruit;soft"	23.8	22.6	"flower;vegetable"	17.5	26.3	"A"	5	17.9	"spring"	25	5.7	"fruit"	18.6	21.7	"lily-of-the-valley;lavender;disturbing;aggressive"	22.5	26.2	"fruit;flower;light;sweet"	18.8	6.7	"A"	35.4	16	"flower;sweet"	6.9	24.2	"wind;light;perfume;ambiance"	14.2	15.3	"light"	26.7	5.7	"soft"	49.6	20.9	"rose"	48.7	6.3	"flower;fresh"	32.3	18.5	"old-woman"	5.3	16.7	"flowerB"	27.1	18.6	"fruit;strong;pleasant"	6.1	20.4	"flower"	27.4	8.4	"flower"	39.8	30.2	"soap;shower-gel"	5.6	25.3	"fresh"	4.7	12.5	"harmony"	35.2	6.8	"flower"	6.3	18.4	"light"	6.1	16.1	"fruit"	16.5	31.3	"fruit"	33.6	11.9	"shower-gel;baby"	24.1	8.4	"light;acid;prickly;pleasant"	7.6	8.2	"weak;pleasant"	46.6	5.7	"flower"	48.7	10.9	"C"	28.6	31.3	"strong;pleasant"
"L'instant"	20.9	8.2	"F"	41.5	23.7	"flower;light;acid;soft;prickly"	11.7	29.2	"very;discreet"	17	18.8	"neutral;discreet;elegant"	26.8	10	"C"	5.3	7.2	"synthetic"	18.7	34.7	"sweet"	36.8	5	"fruit"	3.8	13.2	"fresh"	6.6	36.2	"fruit;sweet;soft"	8.1	13.4	"perfume;man"	31.2	22	"summer;attractive"	39.2	28.7	"D"	20	29.1	"sweet"	58	1.2	"H"	6.2	29.2	"odor;classical"	45	22.8	"A"	5	18.2	"A"	48.2	33	"fruit"	25.3	18	"malted;pleasant;light;a-bit-strong"	7	31	"heavy"	43.8	25.8	"E"	9.3	21.3	"muffled;flower;coconut"	31.5	28.5	"pleasant"	9.7	30.6	"strong;spicy"	13.6	29.3	"powder"	37.4	17.7	"C"	38.1	26.8	"D"	42.3	12.7	"spicy;strong"	51.5	2.2	"bitter;strong"	36.2	31.4	"flower"	26	27.3	"fresh"	42.9	23	"vanilla;sweet"	45.4	22	"vanilla;soft"	32.9	36.8	"flower;vegetable"	33.7	33.1	"childish;attractive;artificial;sickly"	31.4	3.1	"flower;sweet"	4.5	35.6	"vanilla;liquorice"	25.7	16	"verdure"	22.8	10.8	"soft"	48.1	7.1	"D"	25.1	14.3	"sweet;slightly-acid"	49.4	8.3	"flower"	45.8	24	"F"	6.3	33.9	"A"	47.4	14.9	"vanilla"	37	4.5	"flower"	58.4	19	"mint;grass"	2.7	26.9	"fresh"	47.3	5.3	"F"	25	17.3	"coconut;cinnamon"	37.2	30.2	"light"	25.3	20	"light"	50.8	5.7	"plant;green;ivy"	31.6	11.8	"shower-gel;baby"	30.1	4.5	"light;acid;prickly;pleasant"	33	28.2	"average"	37.8	15.6	"flower"	8	10.1	"D"	29.9	20.3	"vanilla;pleasant"
"Lolita Lempicka"	47.7	19	"E"	40.3	7.4	"pepper;balanced;breed;soft;prickly"	29.3	29.6	"soft;character"	7.2	5.6	"young;vivid"	20.8	20.9	"sweet"	4.7	20.6	"woman;mature"	26	34.6	"sweet"	33.6	3.3	"fruit"	41.3	16.3	"hot;spicy;vanilla;heady"	19.4	33.9	"sweet;too;strong"	30.8	10.3	"vanilla"	44.3	19.2	"too;present"	12.6	26.6	"A"	6.3	5.6	"C"	4.5	4.5	"vanilla;spicy;hot"	19	4.3	"strongC"	34	27.5	"C"	39	19.4	"C"	5.6	20	"weak;very;fruit;soft;long-lasting"	25.5	30	"very;sweet;light;sickly"	32	14.5	"sweet"	24	34.3	"odors;hot"	4.5	14.7	"muffled;flower;coconut"	35.5	12	"pleasant"	26.6	35.6	"sweet;fruit"	11.5	26	"powder"	53.5	34.4	"fruit;fresh;light;sweet"	24.9	21	"A"	41.6	26	"spicy;strong"	15.3	36	"soft"	5.9	28.3	"A"	55	22	"sweet"	45.5	34.1	"vanilla;sweet"	52.3	11.4	"vanilla;soft"	9	23.6	"sweet"	5.1	27.6	"enveloping;cloud;voluptuousness;smoothness;soft;reassuring"	46.2	28	"E"	3.8	36.9	"vanilla;liquorice"	8	6.2	"soft"	46.1	10.2	"sirup;cake;fruit"	27.2	19.1	"sweet"	31.8	6.5	"sweet;slightly-acid"	54.6	21.3	"liked;tonality;incense"	12	29.4	"G"	26.4	31.5	"fruit;strong;pleasant"	31.2	17.3	"sweet"	19.5	13.6	"sweet"	8	18.5	"sweet"	39.8	21	"enveloping"	16.7	33	"teenage;likeable"	5.2	24.7	"vanilla"	40	18.7	"slightly-acid"	57	20.6	"D"	15.2	23	"fruit"	9.5	24.2	"strong;aggressive"	52	13.6	"sweet;light;heavy;very;pleasant"	8.4	20.3	"weak;pleasant"	11.7	28.3	"toilet;light"	13.6	33.8	"A"	13.9	20.9	"pleasant"
"Pleasures"	4.7	12.6	"A"	29.5	22.5	"neutral;soap;classical"	6	29.2	"very;discreet"	49.3	18.6	"make-up-remover;bathroom"	26.8	16.6	"C"	52.1	32	"flower;lily-of-the-valley;woman;young"	54	26.8	"flower;lily-of-the-valley;fresh"	6.6	4.9	"weak-odor"	21.2	19	"fresh"	17.4	6.7	"fresh;alcohol;honeysuckle"	43	9	"soap"	8.3	10	"dull"	34.2	24	"D"	18.1	20.1	"sweet"	35	20.4	"flower"	12.7	27.6	"odor;classical"	8.5	16.5	"F"	18.8	25.3	"F"	54	33	"fruit"	8	8.8	"soft;soothing;white;milky;cream;milk;moisturizing"	54	5.4	"soft;cream;skin"	28.1	6.7	"fresh;light"	9.2	7	"lily-of-the-valley"	34	16	"pleasant"	40.9	14.9	"fresh;flower"	30.6	28.2	"fruit"	31.3	9.8	"C"	24	26.6	"A"	3.8	24.7	"fruit;soft"	27.8	22.4	"flower;vegetable"	56	31.9	"autumn;light;soft"	3.6	32.8	"spring"	32.6	4.8	"fruit"	30.6	34.7	"wood"	29.6	31.2	"flower;vegetable"	40.6	9.2	"aggressive;prickly"	37	9.7	"flower;sweet"	36.1	3	"flower;lily"	12.2	30.1	"verdure"	29.4	33.3	"flower"	46.5	26.4	"rose"	53.3	7.2	"flower;fresh"	15.6	17.4	"bark;eucalyptus;old;attic;fresh"	13.3	26.2	"G"	44.8	7.3	"musk"	11.9	20.9	"flower"	21	27.2	"flower;rose"	49	25.8	"soap;shower-gel"	5	14.5	"fresh;natural"	39.4	14.5	"imperceptible"	37.7	9.6	"flower"	50.1	18.7	"flower"	46	35.2	"flower"	54.2	9	"plant;green;ivy"	36.1	11.8	"shower-gel;baby"	2.7	27.2	"ammonia"	10.8	8.2	"weak;pleasant"	39.2	14.6	"flower"	20.8	7.6	"F"	17.8	29.6	"strong;pleasant"
