Judge;Sound;Rank;Innovation;Originality;Sobriety;Proximity;Fun;Premium;Simplicity;Freedom;Human;Technology;Conviviality;Complexity;Popular;Serious;International;Passion;Artisanal;Traditional;Performance;Joyful;Surprising;Exciting;Energetic;Sensual;Sad;Warm;Serious;Adequation;Why;Tempo;Pitch;Instrument
1;V_120_1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;JAR;ne;JAR;JAR;JAR;ne;JAR;JAR;9;the violin brings a warm and energetic air;120;1;Violon
1;P_120_1;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ne;JAR;JAR;ne;ne;ne;JAR;JAR;7;piano not high-end enough, not energetic enough;120;1;Piano
1;A_160_5;3;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;t;t;JAR;t;ne;r_ne;JAR;ne;4;too cheerful, too energetic;160;5;Accordion
1;A_120_1;4;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;t;r_t;r_ne;ne;ne;ne;JAR;r_ne;2;not classy enough;120;1;Accordion
1;V_160_1;5;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;t;JAR;JAR;t;t;ne;JAR;JAR;7;tempo too fast, too energetic;160;1;Violon
1;A_160_1;6;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;JAR;t;ne;JAR;ne;r_ne;JAR;JAR;5;too surprising;160;1;Accordion
1;V_80_1;7;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;ne;t;ne;r_ne;ne;t;ne;JAR;6;surprising by the slow pace, not pleasant;80;1;Violon
1;P_120_5;8;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;JAR;t;JAR;JAR;JAR;ne;JAR;JAR;8;pleasant echo effect;120;5;Piano
1;A_80_5;9;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;ne;t;ne;ne;r_ne;JAR;ne;JAR;2;not pleasant, really too slow;80;5;Accordion
1;P_160_1;10;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;t;t;ne;t;ne;ne;t;ne;4;instrument and tempo are not serious;160;1;Piano
1;P_120_3;11;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;JAR;ne;JAR;JAR;JAR;ne;JAR;JAR;7;nice piano;120;3;Piano
1;P_80_5;12;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;ne;t;r_ne;r_ne;ne;t;ne;JAR;3;really too slow tempo;80;5;Piano
2;A_80_3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;ne;ne;ne;JAR;r_ne;t;ne;r_t;2;instrument does not do enough technology;80;3;Accordion
2;P_120_3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;JAR;JAR;ne;JAR;ne;JAR;ne;t;7;echo of the piano made innovative;120;3;Piano
2;V_80_5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;ne;t;r_ne;JAR;r_ne;t;r_ne;t;1;strident;80;5;Violon
2;P_80_1;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;ne;JAR;JAR;ne;JAR;JAR;ne;t;5;tempo too slow, not technological, not innovative;80;1;Piano
2;V_120_5;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;JAR;t;ne;JAR;ne;JAR;ne;t;3;a little too strident;120;5;Violon
2;P_160_5;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;JAR;JAR;JAR;t;ne;JAR;JAR;JAR;8;slightly too fast tempo;160;5;Piano
2;A_160_3;7;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;JAR;ne;ne;t;ne;JAR;t;t;4;tempo a little too fast, inappropriate instrument, too trumpeting;160;3;Accordion
2;A_160_5;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;JAR;JAR;JAR;t;ne;JAR;ne;ne;5;too acute, not serious enough;160;5;Accordion
2;P_160_1;9;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;ne;ne;ne;t;JAR;JAR;JAR;JAR;6;tempo slightly too fast, echo a little pompous and heavy;160;1;Piano
2;A_160_1;10;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;JAR;t;ne;ne;ne;t;ne;ne;5;inappropriate instrument, not classy enough;160;1;Accordion
2;P_120_1;11;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;ne;ne;ne;ne;JAR;JAR;JAR;JAR;5;echo too important, little class;120;1;Piano
2;P_80_5;12;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;JAR;ne;JAR;t;ne;JAR;ne;JAR;4;too strident, a little too fast;80;5;Piano
3;V_120_3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;JAR;r_ne;JAR;JAR;JAR;t;ne;JAR;6;too traditional;120;3;Violon
